.KRT,Microsoft Visual FoxPro recreation data,backup
.LBK,VersaPro local logic block backup,backup
.LCB,Concept2 LogCard utility backup image,backup
.LDB,Lingoes backup,backup
.LDB,PowerDesigner logical data model backup,backup
.LID,Scholar's Aid library backup file,backup
.LLX,LabVIEW library backup,backup
.LOADERBACKUP,BlackBerry backup,backup
.LV1,LiVES clip backup,backup
.M06,Microsoft Money 98 backup data,backup
.M07,Microsoft Money 99 backup data,backup
.M09,Microsoft Money 2001 backup data,backup
.MB2,McMyAdmin backup archive,backup
.MBAK,Quantrix Modeler backup,backup
.MBF,Microsoft Money backup,backup
.MBK,dBASE IV multiple index file backup,backup
.MBK,SmartWare macro backup,backup
.MBK,MyInfo backup,backup
.MBKP,Memeo Instant Backup backup archive,backup
.MBSB,Mamut Business Software company database backup,backup
.MBSYNCSTATE,mbsync folder backup,backup
.MBU,Sony CAV-M1000ES memory backup,backup
.MBZ,Moodle backup,backup
.MCG,DX-client backup,backup
.MDBACKUP,Apple iPhone backup,backup
.MDDATA,Apple iPhone backup data,backup
.MDINFO,Apple iPhone info data,backup
.MDO,Microsoft Internet Information Server configuration backup,backup
.MDR,MAX II recovery data,backup
.METADATA,Acronis True Image metadata,backup
.MIB,MyInfo topic backup,backup
.MKZ,PokerOffice database backup,backup
.MOBILEBACKUPS,Apple macOS backup,backup
.MON,Firefox monday bookmark backup,backup
.MOZ-BACKUP,Mozilla backup,backup
.MPB,MyPhoneExplorer backup,backup
.MPB,Music Publisher backup,backup
.MPR,Music Publisher backup data file,backup
.MRBAK,Macrium Reflect backup,backup
.MRIMG,Macrium Reflect disk image backup,backup
.MSBCM,Microsoft Business Contact Manager backup,backup
.MSCX,mSecure Password Manager backup,backup
".MSCX,",MuseScore music score backup,backup
".MSCZ,",MuseScore music score backup,backup
.MSGSTOREDBCRYPT7,WhatsApp crypted database backup,backup
.MSIM,mSecure Password Manager backup,backup
.MSNBAK,MSN Mail backup,backup
.MTB,MediaTracker database backup,backup
.MV_,Magix Movie Edit Pro movie backup,backup
.MYC,Simply Safe backup archive,backup
.N000,Genie Backup Manager split backup,backup
.NAB,Novell GroupWise backup,backup
.NAB,Audiobook CD compilation,backup
.NB7,NovaBACKUP output data backup,backup
.NBA,Nero BackItUp archive,backup
.NBAK,Neat backup,backup
.NBD,PC Backup Pro backup,backup
.NBF,Backup NOW! backup archive,backup
.NBI,Nero BackItUp backup information file,backup
.NBU,Nokia PC Suite 6.82+ backup,backup
.NBZ,ArcSoft Total Media Backup & Record backup,backup
.NCO,Nero BackItUp compressed backup,backup
.NDU,Symbian phone backup,backup
.NFB,Nokia PC Suite phone backup,backup
.NFC,Nokia PC Suite phone backup,backup
.NHV,Nero Burning ROM HD-BURN-Video compilation,backup
.NLPB,Navicat for SQLite backup profile,backup
.NMPB,Navicat for MariaDB backup profile,backup
.NPB,Navicat for MySQL backup profile,backup
.NPF,NTI paritition backup,backup
.NPPB,Navicat for PostgreSQL backup profile,backup
.NR4,Nero CD-ROM (AAC) compilation data,backup
.NRB,Nero Burning ROM CD-ROM Boot compilation,backup
.NRBAK,Neat backup,backup
.NRC,Nero Burning ROM UDF/ISO CD-ROM compilation,backup
.NRD,Nero Burning ROM DVD-Video compilation,backup
.NRG,Nero-Burning ROM CD or DVD image,backup
.NRH,Nero Hybrid CD-ROM compilation,backup
.NRI,Nero Burning ROM CD-ROM (ISO) compilation,backup
.NRM,Nero Burning ROM mixed mode CD compilation,backup
.NRS,Nero CD-ROM Boot EFI compilation,backup
.NRU,Nero Burning ROM UDF CD-ROM compilation,backup
.NSD,Nero Super Video CD compilation,backup
.NSPB,Navicat for SQL Server backup profile,backup
.NT8BK,NinjaTrader backup,backup
.NTBK,NinjaTrader backup,backup
.NTJ,Junction Box backup file,backup
.NU3,Symantec Norton Utilities backup,backup
.NV,Visicontrol MVS-20 non-volatile memory backup,backup
.NV3,Visicontrol MVS-30/35/40 flash-memory backup,backup
.NVF,Visicontrol MVS-20 Non-Volatile memory backup,backup
.NWBAK,Neat backup,backup
.OB,ABF Outlook Backup backup,backup
.OB3,ABF software Outlook Backup backup,backup
.OB5,TopLang OE Backup file,backup
.OBAK,WinSQL offline backup file,backup
.OBK,Oxygen Phone Manager phone book,backup
.OBK,Genie Outlook backup,backup
.OCB,Directory Opus configuration backup,backup
.OCH,Satellite and Channel settings backup,backup
.OEB,Outlook Express Backup Wizard file,backup
.OFB,Oxygen Forensic Suite backup,backup
.OKR,PowerRecover one key recovery file,backup
.OLD,Backup archive,backup
.OMG,O&O DiskImage backup,backup
.OPT,Firmware file backup,backup
.ORI,Backup of original file before changes,backup
.ORIG,Mostly backup of original file before changes,backup
.ORIGINAL_EPUB,EPUB e-book backup,backup
.ORIGINAL_MOBI,MOBI ebook backup,backup
.OSBX,OneSafe exported backup,backup
.OUT,NovaBACKUP backup,backup
.OVB,OnkoS vocabulary backup,backup
.OYX,IBM Lotus Approach alternate database index,backup
.P00,PAR recovery volume,backup
.P03,PAR recovery volume,backup
.P04,PAR recovery volume,backup
.P05,PAR recovery volume,backup
.P07,PAR recovery volume,backup
.P14,PAR recovery volume,backup
.P15,PAR recovery volume,backup
.P20,PAR recovery volume,backup
.P21,PAR recovery volume,backup
.P24,PAR recovery volume,backup
